sample,r,s,t,u,v,w,moisture(g)
41,749.26,55.18,97.57,54.77,47.74,23.57,5.69
42,261.9,27.59,89.77,51.4,36.85,20.2,5.55
43,592.12,53.14,91.33,54.77,47.74,25.82,6.65
44,409.93,34.74,88.98,55.61,48.58,26.94,8.53
45,293.78,31.68,71.03,43.82,35.18,20.2,10.55
46,776.59,61.31,103.03,59.82,59.47,30.31,6.15
47,455.48,43.94,94.45,54.77,46.9,26.94,8.71
48,686.63,65.4,93.67,55.61,53.6,29.18,8.86
49,282.4,27.59,82.74,53.08,42.72,24.69,9.95
50,635.39,45.98,91.33,52.24,48.58,25.82,5.89
51,934.87,75.62,85.08,49.71,60.3,32.55,8.45
52,421.32,41.9,89.77,53.08,50.25,29.18,8.5
53,456.62,43.94,97.57,54.77,44.39,23.57,8.71
54,507.86,68.46,91.33,52.24,46.9,26.94,8.16
55,304.03,33.72,92.89,54.77,41.88,24.69,9.3
56,308.59,31.68,92.89,59.82,50.25,29.18,7.52
57,14.8,11.24,99.91,58.98,52.77,30.31,7.51
58,932.59,79.7,110.84,66.57,67.84,35.92,7.57
59,331.36,29.63,88.2,51.4,41.04,21.33,7.99
60,629.7,53.14,94.45,56.45,51.93,30.31,8.48
61,626.28,48.03,104.6,58.98,51.93,26.94,7.33
62,273.29,32.7,86.64,55.61,46.9,28.06,8.04
63,296.06,29.63,96.79,56.45,44.39,24.69,5.66
64,381.46,41.9,88.2,49.71,40.2,22.45,8.4
65,297.2,31.68,92.89,58.98,46.9,26.94,8.34
66,746.98,57.22,101.47,59.82,59.47,31.43,8.28
67,624,49.05,93.67,55.61,54.44,31.43,8.83
68,218.63,25.55,80.4,48.87,34.34,17.96,8.12
69,259.62,26.57,88.98,54.77,41.04,23.57,9.31
70,498.75,45.98,74.15,46.34,41.88,21.33,6.12
71,390.57,38.83,88.2,51.4,44.39,25.82,8.25
72,466.86,42.92,80.4,49.71,45.23,24.69,6.47
73,354.13,37.81,89.77,46.34,33.5,14.59,5.13
74,294.92,28.61,85.86,49.71,35.18,19.08,8.89
75,411.07,36.79,61.66,38.76,36.01,19.08,5.91
76,437.26,43.94,90.55,51.4,41.04,21.33,9.15
77,296.06,34.74,88.98,50.56,36.85,20.2,7.69
78,439.54,48.03,78.06,42.97,34.34,16.84,5.5
79,468,39.85,90.55,49.71,38.53,19.08,9.36
